26,0,1,0,0,25,1,1,0,0,24,2,1,0,0,25,0,2,0,0,26,0,1,0,0,28,27,00900628,20180200900628180,03122
30,4,0,0,0,30,4,0,0,0,29,5,0,0,0,29,5,0,0,0,30,4,0,0,0,35,34,00900327,20170100900327001,03124
19,0,0,0,0,19,0,0,0,0,17,2,0,0,0,19,0,0,0,0,19,0,0,0,0,19,19,03600919,20150103600919110,03124
19,3,0,0,0,16,6,0,0,0,18,3,1,0,0,17,5,0,0,0,18,3,1,0,0,22,22,03600285,20160203600285154,03125
39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,40,39,03601129,20180203601129122,03144
18,1,0,0,0,18,1,0,0,0,18,1,0,0,0,18,1,0,0,0,18,1,0,0,0,20,19,03601130,20180203601130123,03144
138,21,9,1,0,135,23,9,2,0,141,17,8,3,0,142,16,9,2,0,141,20,6,2,0,170,169,06700002,20170106700002096,03150
33,0,0,1,0,33,0,1,0,0,33,0,1,0,0,33,1,0,0,0,33,1,0,0,0,35,34,00900475,20170100900475001,03162
27,4,0,0,0,27,4,0,0,0,27,4,0,0,0,27,4,0,0,0,27,3,1,0,0,31,31,02900475,20170102900475003,03163
31,3,0,0,0,30,4,0,0,0,32,2,0,0,0,32,2,0,0,0,32,2,0,0,0,34,34,01500241,20170101500241002,10028
38,0,0,0,0,38,0,0,0,0,38,0,0,0,0,38,0,0,0,0,38,0,0,0,0,40,38,03600153,20180203600153053,03196
71,4,0,0,0,71,3,1,0,0,70,3,2,0,0,69,6,0,0,0,70,5,0,0,0,75,75,00500916,20170100500916001,04014
64,3,2,0,0,64,4,1,0,0,63,3,2,1,0,64,2,2,1,0,64,4,1,0,0,69,69,00500922,20170100500922001,04014
165,4,0,0,0,163,6,0,0,0,162,7,0,0,0,164,5,0,0,0,163,6,0,0,0,167,169,98600022,20170198600022001,04014
38,4,1,0,0,37,5,1,0,0,38,5,0,0,0,37,5,1,0,0,39,4,0,0,0,43,43,00600499,20170100600499001,04016
28,0,0,0,0,28,0,0,0,0,28,0,0,0,0,28,0,0,0,0,28,0,0,0,0,28,28,00600392,20170100600392013,04026
42,2,0,0,0,42,2,0,0,0,42,2,0,0,0,42,2,0,0,0,42,2,0,0,0,44,44,00600434,20170100600434004,04026
35,1,0,0,0,34,2,0,0,0,34,2,0,0,0,34,2,0,0,0,34,2,0,0,0,36,36,00600439,20170100600439001,05139
47,2,1,0,0,47,2,1,0,0,47,2,1,0,0,47,2,1,0,0,47,2,1,0,0,50,50,03601149,20180203601149093,04051
28,1,1,0,0,29,1,0,0,0,27,2,1,0,0,28,2,0,0,0,28,2,0,0,0,30,30,03600898,20180203600898044,04061
2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,48,2,01101042,20150101101042001,04064
42,8,1,0,0,42,7,2,0,0,42,7,1,1,0,42,8,1,0,0,42,8,1,0,0,52,51,01101076,20170101101076001,12092
72,1,0,0,0,72,1,0,0,0,72,1,0,0,0,72,1,0,0,0,72,1,0,0,0,73,73,00701247,20170100701247004,04075
36,0,0,0,0,36,0,0,0,0,36,0,0,0,0,35,1,0,0,0,36,0,0,0,0,36,36,00700903,20170100700903001,04089
43,1,0,0,0,44,0,0,0,0,43,1,0,0,0,44,0,0,0,0,44,0,0,0,0,44,44,02900301,20170202900301002,06086
94,2,1,1,0,94,3,0,1,0,95,2,0,1,0,93,3,1,1,0,95,2,0,1,0,100,98,03600401,20180203600401095,04103
2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,02900605,20170102900605005,04118
2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,02900779,20170102900779005,04118
35,8,0,0,0,34,7,2,0,0,35,7,1,0,0,36,6,1,0,0,35,8,0,0,0,45,43,00701000,20170100701000002,04141
26,1,0,0,0,26,1,0,0,0,26,1,0,0,0,26,1,0,0,0,26,1,0,0,0,27,27,00701279,20170100701279001,04163
61,2,0,0,0,62,1,0,0,0,61,2,0,0,0,62,1,0,0,0,61,2,0,0,0,63,63,00500729,20170100500729001,05012
67,2,0,0,0,67,2,0,0,0,67,2,0,0,0,67,2,0,0,0,67,2,0,0,0,69,69,00500632,20170100500632001,05014
25,1,0,0,0,24,2,0,0,0,26,0,0,0,0,25,1,0,0,0,25,1,0,0,0,26,26,00701232,20170100701232001,05028
71,1,1,0,0,71,2,0,0,0,71,1,1,0,0,71,1,1,0,0,71,2,0,0,0,73,73,00701183,20170100701183003,05044
38,3,1,0,0,37,4,0,0,1,37,4,0,1,0,37,5,0,0,0,37,5,0,0,0,42,42,00500712,20170100500712001,05045
55,2,1,0,0,53,5,0,0,0,54,4,0,0,0,54,4,0,0,0,56,2,0,0,0,58,58,02900634,20170102900634001,05047
30,1,0,0,0,30,1,0,0,0,30,1,0,0,0,31,0,0,0,0,29,2,0,0,0,31,31,01500277,20170101500277001,05048
32,0,0,0,0,29,3,0,0,0,32,0,0,0,0,30,2,0,0,0,29,3,0,0,0,31,32,01500284,20170101500284001,05048
24,3,0,0,0,23,4,0,0,0,23,4,0,0,0,24,3,0,0,0,23,4,0,0,0,27,27,01500286,20170101500286002,05048
20,1,0,0,0,19,2,0,0,0,18,2,1,0,0,19,2,0,0,0,19,2,0,0,0,21,21,00500878,20170100500878001,05059
54,6,0,0,0,57,3,0,0,0,54,5,1,0,0,53,7,0,0,0,54,5,1,0,0,60,60,00500920,20170100500920001,05059
32,2,0,0,0,31,2,1,0,0,30,4,0,0,0,31,3,0,0,0,31,3,0,0,0,36,34,03601183,20170203601183003,05059
79,2,0,0,0,80,0,1,0,0,79,1,1,0,0,80,1,0,0,0,80,1,0,0,0,81,81,03600920,20180203600920030,05064
33,1,0,0,0,33,1,0,0,0,33,0,1,0,0,33,1,0,0,0,33,1,0,0,0,34,34,00701149,20170100701149001,05071
